freebase_id,nominations,wins
/m/03vyhn,2,0
/m/016ywb,13,12
/m/0kcn7,17,22
/m/02wjqm,2,2
/m/05p45cv,0,3
/m/014k4y,14,1
/m/0734w5,0,0
/m/01mrrd,3,2
/m/0cws46,0,0
/m/04mhwd,1,1
/m/0286_1d,6,0
/m/0djbd6g,0,0
/m/015wmg,3,1
/m/09kzfd,0,2
/m/04rjwf,1,1
/m/03_wh5,5,6
/m/0g08ws,0,0
/m/01bwgr,3,1
/m/04dld6,8,9
/m/07jwzw,0,0
/m/06wbrsg,0,0
/m/03813g,9,15
/m/01xlqd,10,7
/m/0c037x9,0,0
/m/08m1s2,6,3
/m/0d_ng1,11,4
/m/0p_sc,14,17
/m/0gfrkw7,2,1
/m/067p6m,3,0
/m/0gj6pd,5,0
/m/0dlm0sz,10,4
/m/01_mdl,23,17
/m/0bghc4,0,0
/m/0ds11z,77,34
/m/016z5x,19,3
/m/07m7j8,2,0
/m/01jtxq,21,7
/m/0ft_c9,8,20
/m/0401sg,7,0
/m/0db2z1,0,0
/m/04ldc1b,0,2
/m/01j5x_,2,11
/m/04zy_f7,3,0
/m/03m3zmd,0,0
/m/0kvbsw,0,0
/m/0kv9kh,23,21
/m/027b_lp,4,0
/m/03hq88,3,0
/m/0k47y,6,6
/m/052172r,0,0
/m/04k12v,6,1
/m/095kx7,4,7
/m/0g8p65k,2,0
/m/0kvgjd,0,0
/m/04rq8l,1,4
/m/06wmyc,2,0
/m/0crs5bt,8,1
/m/06w7l0s,3,1
/m/0g9wdmc,47,27
/m/069dl1,3,2
/m/0287gvq,1,1
/m/0bdgm4,73,47
/m/05szq8z,14,4
/m/034f7w,3,2
/m/060__7,11,5
/m/040280,0,0
/m/0c3tkft,0,0
/m/0h66h0p,0,0
/m/0cwvf3,2,0
/m/05zptkl,10,5
/m/07l50_1,59,39
/m/0c9jj9,10,0
/m/02x46vd,0,0
/m/0hzr9h0,7,1
/m/0crdc2c,1,1
/m/0fbrd7,0,0
/m/03np63f,29,6
/m/041620c,0,0
/m/03dwzc,7,1
/m/023p33,8,6
/m/07ykkx5,10,4
/m/0273d78,0,0
/m/0cq7kw,13,25
/m/06nmwj,6,1
/m/0gfxs9,18,10
/m/036z4q,0,0
/m/0bz3jx,2,3
/m/09mtx1,1,4
/m/0dnrcd,1,2
/m/06_461,8,13
/m/07s7ql5,1,6
/m/0by1wkq,47,18
/m/03t8p6,10,0
/m/0dstt0,4,1
/m/016ks5,14,14
/m/0fymw0,0,0
/m/04kkxx,7,0
/m/0k3n8tj,7,4
/m/05gmn3,1,1
/m/0gx3rq1,26,11
/m/05c36tn,1,14
/m/06g77c,20,4
/m/049w1q,0,0
/m/060xq9,22,21
/m/04c13q,2,0
/m/05h3bcc,4,0
/m/0c5skt,0,0
/m/0dgn19h,11,7
/m/0fbct3,0,0
/m/0j28fqc,0,0
/m/08ns88,0,0
/m/011xrr,5,0
/m/0bj75qd,4,2
/m/02jvd9,4,8
/m/0gvbrg,1,2
/m/0dcjzb,3,2
/m/0ccbhm0,0,0
/m/0brzpsy,30,20
/m/062mn_,0,0
/m/0gjdbwf,0,17
/m/0547w5,5,1
/m/0gs973,0,0
/m/0hndcdl,4,1
/m/05zm0gk,40,47
/m/03cnn95,4,1
/m/063qzp,2,2
/m/05sqd7t,4,3
/m/06mt3b,0,0
/m/04yg13l,0,0
/m/0dsxdc,7,2
/m/01l310,2,2
/m/06fwns,3,1
/m/04j1zjw,6,6
/m/02vr0fm,2,0
/m/02qsvdf,5,2
/m/0h1hhph,3,0
/m/0glt1gv,1,1
/m/02x0srr,0,0
/m/026wlxw,6,3
/m/0806h15,0,0
/m/02d4bc,22,15
/m/04l3xj,11,3
/m/02r4y1,3,0
/m/02j9_2,10,9
/m/0yx7h,24,10
/m/03c0ng6,1,5
/m/01l_pn,21,9
/m/082880,7,4
/m/027sfwn,7,2
/m/080bg29,1,1
/m/05c13wg,15,2
/m/0416_jf,0,5
/m/04170ct,0,0
/m/027x7z5,7,0
/m/09hjcp,0,0
/m/06znjl_,0,0
/m/0hrdl6c,0,0
/m/051zpx6,3,1
/m/01gbd4,19,8
/m/06d6ch,2,1
/m/09gj_lb,1,1
/m/054xvf,5,0
/m/04yckq7,0,0
/m/047p798,8,0
/m/0408hyt,6,2
/m/06_1x0,11,17
/m/04csrk3,0,0
/m/08w51z,0,0
/m/0bh6zg4,0,0
/m/04tm9x4,5,0
/m/0g55blx,0,0
/m/03pvrq,0,0
/m/048j2s,0,0
/m/0g_1sj,2,0
/m/0kv69x,1,2
/m/01470k,18,21
/m/0286ynb,8,25
/m/032xt8,0,0
/m/0275nqh,0,0
/m/0k0tjc1,0,0
/m/01q7vwf,7,0
/m/01gmvl,2,3
/m/0fp_tm6,10,2
/m/0bv8qsf,17,5
/m/05zsf_s,9,3
/m/02dwj,11,14
/m/05p57kw,1,2
/m/03c_lhp,5,0
/m/0281f6k,1,3
/m/01p8m2,6,9
/m/0cmf0m0,43,10
/m/0633s8,15,3
/m/0fqvcx,1,1
/m/07q1m,40,18
/m/0gqwcf,10,8
/m/027fgcb,0,0
/m/08x7tc,0,0
/m/0415wvx,0,0
/m/04y27b,8,1
/m/026z9wt,0,0
/m/09g9snk,2,1
/m/055b0h,9,2
/m/0jt3mlt,7,2
/m/03l0dw,5,2
/m/07j6w,25,11
/m/059zzd,6,11
/m/032wmz,0,0
/m/032wmm,4,2
/m/0kv3s2,9,7
/m/011yl_,52,46
/m/0bw20,2,1
/m/01__75,3,0
/m/09qb_3,7,4
/m/09v42sf,2,1
/m/0299hs,13,11
/m/0by0j9,2,1
/m/0cndck,0,0
/m/0kv8f2,2,1
/m/0ckt6,7,3
/m/027l8q0,1,4
/m/0cc9g_4,1,1
/m/0bwfpdc,4,3
/m/034ffy,3,2
/m/0jwwhxf,44,15
/m/0c0krr,0,0
/m/05nd17,7,2
/m/027lz0c,0,0
/m/08ck1h,2,1
/m/07s5kvr,5,0
/m/04633j5,14,11
/m/0j_53l0,0,0
/m/04jkwz3,1,11
/m/02vxzvr,10,9
/m/0hyq0x2,13,8
/m/0jztk0_,34,34
/m/06_vlp9,8,4
/m/03xj05,34,22
/m/0sxlb,25,27
/m/054rdz,0,0
/m/0gyy53,3,0
/m/032clf,9,12
/m/0bwhdbl,6,1
/m/0hhtpdf,0,0
/m/01_8y6,3,0
/m/04ybs49,3,1
/m/05qbckf,45,7
/m/0d3h66,0,0
/m/04jkpgv,33,21
/m/02ppl9x,7,7
/m/0286q52,8,16
/m/07rgg3,8,2
/m/09wmnw,3,0
/m/011yqc,86,91
/m/0463h2d,17,24
/m/019k65,9,5
/m/08s9y8,0,0
/m/0c6lk5,3,0
/m/0fpmvsn,10,0
/m/02vzpb,11,0
/m/027s7sc,0,0
/m/09fn1w,39,38
/m/04y1y1,0,0
/m/08n3t7v,0,0
/m/0gqjg6,0,2
/m/02p6k7z,0,0
/m/0hgmyf0,5,0
/m/02p6k7l,3,1
/m/0g5pv3,9,2
/m/01_wsl,5,2
/m/09t10b,0,0
/m/05f7hs,4,0
/m/0ddg_bs,5,2
/m/0h_dpk8,10,12
/m/07gpk9,3,0
/m/06x8g2,0,0
/m/0c6m5_,0,0
/m/0kvdbl,7,0
/m/071qr3,0,0
/m/0gvrx5s,0,0
/m/03y0pn,54,45
/m/0bjpcz,2,1
/m/0crztvy,0,0
/m/0cwph8,0,0
/m/01gzln,19,4
/m/0cgdqw,3,0
/m/0834qx,0,0
/m/083xgxs,6,2
/m/02rd9y5,59,41
/m/0h1zb6y,0,0
/m/0h37zs,11,3
/m/03s44q,6,1
/m/0pvms,8,3
/m/0bq8pl,2,0
/m/02qdx98,0,4
/m/0344gc,23,15
/m/0274cf8,3,2
/m/03vhs5,0,0
/m/07j3zz,0,0
/m/0gy_8n,4,1
/m/04ljy6p,2,14
/m/0bfs_k,3,5
/m/0dgng2d,2,7
/m/0dlk_qn,5,4
/m/07k1k,4,5
/m/02758w3,13,12
/m/06h5k7,0,0
/m/02nlfw,1,1
/m/07nm68k,19,7
/m/08gg47,6,11
/m/0263ywm,0,4
/m/01pk75,4,0
/m/0bk9p6,0,0
/m/012s1d,65,17
/m/05ppy,2,0
/m/01pk7l,1,2
/m/0bs8ndx,0,0
/m/0270k40,0,0
/m/0d6tsc,0,0
/m/080d5z4,0,0
/m/028xm3,11,0
/m/04ybqxh,0,0
/m/02qdzp9,9,5
/m/0j80w,8,11
/m/0glqsm0,0,0
/m/04yfm5_,4,6
/m/0cs0xl,2,0
/m/076yzh_,4,1
/m/0gnm2n,0,0
/m/09tzpcm,0,3
/m/04zzwmh,2,0
/m/0cz8mkh,6,2
/m/096v5f,10,3
/m/0gy15f9,4,0
/m/0cw72h,2,0
/m/04n4m89,4,10
/m/030xd3,11,2
/m/05sxr_,23,11
/m/0ds1glg,8,1
/m/06n95j,4,0
/m/0crh6wp,4,0
/m/0h32yx2,0,0
/m/02vy924,0,3
/m/05jp8w,3,4
/m/098qlc,2,2
/m/0bp35b,0,0
/m/0660qyl,2,0
/m/0g5qwrp,2,0
/m/0j5y8m5,15,9
/m/0j24_bp,0,0
/m/0gv5bx,0,0
/m/027bbtg,4,2
/m/07bm1j,2,1
/m/0gnjh,6,3
/m/075ym7,0,0
/m/0kv5zr,7,8
/m/04czg6c,35,5
/m/04zl8,2,2
/m/09gg66x,0,0
/m/0g1ym6,3,0
/m/03cq16k,0,0
/m/02mc5v,5,3
/m/07l4_n2,7,12
/m/06ztvyx,47,5
/m/0gzlb9,3,19
/m/02vx4rg,19,12
/m/03q69ds,0,2
/m/04y9xhm,0,0
/m/03q0r1,34,28
/m/0779m1,5,3
/m/05sxzwc,4,1
/m/0gynbw,2,0
/m/06gtp2,0,0
/m/0gcpc,6,7
/m/0h3tqgl,8,1
/m/05s_l3g,4,0
/m/0gx0nzx,0,3
/m/02qfpth,1,6
/m/0kv57c,8,1
/m/02q0k7v,2,0
/m/04wdfw,6,2
/m/0b7hdh,5,1
/m/043ncp,11,6
/m/0b6tzs,139,164
/m/04wzkz,2,2
/m/09sylrq,7,4
/m/02n72k,4,2
/m/07l450,32,49
/m/06kyc4,0,0
/m/02q8ms8,3,0
/m/027f991,6,3
/m/07nhm,5,1
/m/0h1cygl,3,0
/m/0b6hpdc,0,0
/m/01cm8w,1,2
/m/01z6yp,7,1
/m/0h0w84_,0,4
/m/0bcs_f,2,1
/m/034qbx,0,3
/m/0463_7,4,0
/m/080jym_,0,0
/m/01vg4x,2,0
/m/01vg4k,4,3
/m/02pt7wb,2,1
/m/0djzj0n,1,3
/m/01pr90,0,0
/m/0y_hb,11,6
/m/0gvbzs,0,0
/m/0gwz0yh,0,0
/m/08dc1n,0,0
/m/02yy9r,28,16
/m/0818hw,6,6
/m/0bhpf5,17,48
/m/04s2t2,0,0
/m/04km9l,0,0
/m/072x7s,75,14
/m/0bj4tz2,11,3
/m/047ndx,0,2
/m/064n1pz,35,18
/m/0k45b,3,3
/m/02q52q,14,13
/m/0c7tyj,0,0
/m/0fk8df,3,2
/m/0728fz,6,0
/m/07lw__,0,0
/m/0chqw3,2,0
/m/03cmcvj,9,24
/m/05t4h1,14,13
/m/05q7yr2,20,7
/m/07jn86,0,0
/m/03w9wwh,0,0
/m/0bbzkgx,0,0
/m/04cw79,14,10
/m/0kv03f,22,5
/m/03mvtj,0,0
/m/0bmch_x,3,0
/m/0268qvg,1,3
/m/0466l8b,0,8
/m/0678ls,0,0
/m/0209xj,133,97
/m/01hpp,0,0
/m/09v54x,0,0
/m/0gy7bj4,53,32
/m/040tbq,2,0
/m/02rqy56,26,21
/m/043nfmq,7,3
/m/071nw5,61,20
/m/0b_rqq,44,14
/m/0b0hcx,7,17
/m/04pmnt,34,6
/m/03lx3k,2,1
/m/0fbnr2,5,5
/m/0892mn,8,20
/m/0g5qth,7,8
/m/07n8dt,0,0
/m/0b6kv2v,13,19
/m/04z_tyl,7,3
/m/0c2jgd,2,0
/m/04ngxk,7,10
/m/0dvptj,34,28
/m/0fkzvz,0,0
/m/0c01vd9,6,4
/m/0b9qwr,5,0
/m/0b6f4md,0,0
/m/0414j6,2,1
/m/0bmfdbk,9,2
/m/047pty,8,1
/m/01f8gz,19,8
/m/03cwmx6,2,2
/m/0gfjdqj,0,0
/m/047d21r,123,74
/m/0h_blc1,7,1
/m/0c3_662,0,0
/m/0h3q98m,2,0
/m/0g7g1t,9,3
/m/046488,49,16
/m/0j7mv7h,0,0
/m/06znpjr,3,0
/m/03gy1gr,0,0
/m/027tbnm,3,3
/m/02rpbhg,4,2
/m/043lfrj,0,0
/m/04qb6gl,0,0
/m/0blhbs,7,23
/m/0fpnt4,8,5
/m/07ntww,9,4
/m/0cpllql,2,0
/m/0dtkj8,0,2
/m/0806nm,5,1
/m/05y808,5,11
/m/04cst40,4,9
/m/02mkys,3,1
/m/0522t48,9,17
/m/01yvmf,7,3
/m/03pc89,26,15
/m/0g9z_32,1,1
/m/03pysy,5,6
/m/0gwndqr,58,9
/m/0gl02yg,27,38
/m/0gfggdv,0,0
/m/0ch0qdn,2,0
/m/05cx06,5,3
/m/056_tf,7,16
/m/02rqlzm,0,0
/m/03hj5lq,93,58
/m/048tv9,0,0
/m/04mxvxx,0,0
/m/02_fz3,22,11
/m/0j9l965,2,11
/m/09m9v4,3,16
/m/02_1sj,1,1
/m/04j2zgz,1,2
/m/0j88t,3,3
/m/04f9bz6,17,11
/m/0263fpm,0,0
/m/017kz7,3,3
/m/064pcxx,4,1
/m/0410_mn,5,0
/m/0bx7gb,4,4
/m/0jqtz,1,8
/m/064ndc,5,3
/m/05ztyqq,7,1
/m/04sy4_,1,1
/m/08v03f,0,0
/m/0gf8vcp,12,3
/m/0gynzdb,0,0
/m/03s6l2,12,7
/m/0gfnhw0,15,6
/m/04cq1k,27,4
/m/0cnykql,0,0
/m/03g7m3,18,20
/m/047n8xt,54,16
/m/03cljvq,2,0
/m/05p258,7,10
/m/02rdr0k,28,10
/m/05my53,2,2
/m/05lfgw,0,0
/m/02vpvxm,0,0
/m/0416dv9,0,0
/m/0fxcn5,0,0
/m/07yw5c,19,22
/m/03ck20l,6,0
/m/04n3lf7,0,3
/m/026dfz5,0,0
/m/0jwsfxg,0,0
/m/02x3f_y,1,25
/m/05j3s1,5,1
/m/06w99h3,25,46
/m/07m9l9,0,0
/m/057yjg,24,4
/m/0cc5qkt,76,15
/m/02z28m8,0,0
/m/02yyfc,3,2
/m/01vw8k,23,5
/m/05m55b,4,4
/m/05c2c9r,12,40
/m/01hqhm,59,28
/m/0jt5l1z,24,6
/m/0d1n0q,14,1
/m/02qghkj,1,2
/m/05spx3,2,0
/m/0348n5,2,1
/m/09pjp3,0,0
/m/02q56mk,46,21
/m/07dzr6,0,0
/m/0db76pq,17,22
/m/0by1989,8,1
/m/0gtvpkw,5,2
/m/03q4qb,6,0
/m/0c05g3,18,2
/m/03nqpb7,7,0
/m/03kxj2,16,3
/m/04gsslx,2,2
/m/017yv4,2,9
/m/0hhggmy,3,1
/m/02vl65n,0,0
/m/0294mx,26,31
/m/026y_nt,3,0
/m/03cygf,0,0
/m/07sgdw,3,0
/m/04f3j1r,0,0
/m/0615_9,1,1
/m/03lv4x,8,13
/m/01s7gq,4,4
/m/01kyvd,7,2
/m/0g5mp9,0,0
/m/0b3pmj,5,0
/m/06ylpw,4,0
/m/05c8xf,1,1
/m/0hqpp,0,0
/m/03flsn,2,1
/m/03dyd7,3,1
/m/04jlh_k,5,10
/m/09g8vhw,5,3
/m/02847m9,4,0
/m/03q8xj,49,36
/m/0jkzgkk,6,1
/m/07lz72,5,0
/m/0gx9hr9,42,7
/m/064q5v,3,4
/m/03np6v,6,10
/m/0fbphd,8,0
/m/02qp2yn,5,1
/m/03qc9_,16,15
/m/0h_dv23,14,1
/m/0p7q7,13,5
/m/01nkyj,12,21
/m/04nnpw,55,29
/m/0ggzgq,9,6
/m/06r71t,0,0
/m/02qlp4,17,3
/m/04y8pc,6,0
/m/07_vft,15,6
/m/02v5k3,2,0
/m/087w6_,0,0
/m/090glv,0,2
/m/0dfw0,71,21
/m/07myzh,0,0
/m/08054lm,6,2
/m/02rlj20,31,29
/m/065z3_x,6,3
/m/07kh6f3,46,9
/m/0h1x5f,112,72
/m/0fpmrm3,46,42
/m/0cp0ph6,4,6
/m/04lfwh3,0,0
/m/09z625,8,9
/m/0gwgmd3,7,3
/m/0_9l_,49,32
/m/08952r,9,8
/m/03gyr_g,0,0
/m/029zqn,45,18
/m/09b4sb,1,1
/m/07v52h,3,0
/m/01mypy,12,8
/m/09gpxd5,9,2
/m/0kvfb5,6,2
/m/0h2d0rh,0,0
/m/04mtg83,7,3
/m/06hz52,5,3
/m/09dv8h,19,10
/m/0b76t12,18,5
/m/0761d1,5,0
/m/03c40zs,22,37
/m/0kv0mz,6,9
/m/0cly8m,11,1
/m/04g1bw1,0,0
/m/03z106,5,3
/m/0ckffk,6,3
/m/0hgpnxg,6,4
/m/0gvrtf4,13,4
/m/081jcn,1,2
/m/09cxm4,14,2
/m/0b2tb1,3,0
/m/05lvfp,2,0
/m/026q830,11,21
/m/0drytd1,2,0
/m/027r9t,103,54
/m/07x7l6,7,1
/m/057lbk,13,4
/m/01h3y_,4,0
/m/0bfx49,2,4
/m/0yx_w,25,27
/m/09k5kmz,0,0
/m/0kvc_s,0,0
/m/0j_vp,0,2
/m/06fhhh,8,3
/m/033mlr,0,0
/m/07gghl,6,1
/m/04_g15,3,1
/m/0c241c_,5,0
/m/03wb66v,0,0
/m/02z69h9,0,0
/m/076zy_g,14,1
/m/0hv8w,13,9
/m/03cx_51,0,0
/m/05sjq,3,5
/m/0281q0c,3,0
/m/02phnk3,0,0
/m/09f792,3,0
/m/059t_2,5,21
/m/05pg_v,0,0
/m/0kt_s6,4,4
/m/054cvh,3,0
/m/05zntwr,3,1
/m/0170yd,19,8
/m/04vcfx,2,3
/m/02d478,79,30
/m/08md65,9,2
/m/03pnwz,5,13
/m/0kvd8n,6,1
/m/05drr_,0,0
/m/04hx9p,6,1
/m/05t101l,3,9
/m/0bh76g,0,0
/m/05ztjmm,0,0
/m/06rhz7,26,12
/m/0h57441,0,0
/m/016kc2,6,1
/m/01ffx4,19,20
/m/0g5qtgr,0,0
/m/04nndnn,3,1
/m/05zqybr,6,5
/m/0f61tk,6,1
/m/07klvh,6,4
/m/02l_j_,7,1
/m/02q363g,0,2
/m/043lnx9,7,0
/m/0dtj7w,0,0
/m/05b3jp2,3,2
/m/043nnx2,4,2
/m/0b499_,0,0
/m/043wvb,2,0
/m/050kdc,5,7
/m/03yysc,7,9
/m/0dsd7gy,0,0
/m/0drzmb1,0,9
/m/080ppml,0,2
/m/02qyv3h,2,4
/m/0b7tvf,4,0
/m/034c5l,22,10
/m/09txzv,54,7
/m/08ns8n,2,0
/m/080jn6w,0,0
/m/0604zn,0,0
/m/04n1drd,2,1
/m/01r97z,4,8
/m/0dtzkt,1,1
/m/08hnb3,3,2
/m/0316hv,2,0
/m/0df4hk,4,9
/m/04xx9s,15,3
/m/05b_3mw,3,1
/m/02rpdgq,0,0
/m/0gx99m8,20,14
/m/02vlj62,7,1
/m/03yt2c,2,1
/m/09z0vt,2,2
/m/0dswwj,4,0
/m/05s_v9g,13,4
/m/026m6ws,13,16
/m/0884wb,0,0
/m/03hgw3t,0,0
/m/079rlmq,10,15
/m/05zhtt2,14,22
/m/0234j5,24,9
/m/02x5hpd,2,0
/m/0gytmtq,4,1
/m/088j6t,5,0
/m/08vcbf,0,0
/m/0g5qsq9,0,0
/m/05c4frl,4,0
/m/0d6_y2,6,1
/m/03hxsv,39,9
/m/064_zc,1,1
/m/0jq56,0,2
/m/060r16,0,0
/m/0gxtknx,21,3
/m/0jky4lb,1,1
/m/0409zp,0,0
/m/09myn7,0,0
/m/035bcl,6,3
/m/02bhsc,7,5
/m/028306,1,9
/m/03wfzpj,2,1
/m/0gx8qjj,0,0
/m/05p1_m,6,1
/m/0ct19p,3,0
/m/07947b,1,1
/m/0b6j4f5,8,1
/m/09bh7y,0,0
/m/05567m,21,6
/m/0fvh98,3,0
/m/0ghw00c,6,0
/m/067tcz,1,2
/m/08g3_n,14,3
/m/0286_hv,9,8
/m/021fvl,10,3
/m/0gxrs32,0,0
/m/07m7ls,4,0
/m/04qk12,5,2
/m/09rtvmb,0,0
/m/0kv4mx,1,1
/m/0bbd2sj,14,30
/m/01j8wk,0,0
/m/04lgct4,12,7
/m/078mm1,0,0
/m/09rcwd,4,0
/m/0g4ngl9,0,0
/m/0dn5mc,2,5
/m/04jdd_f,0,0
/m/0ft271,13,3
/m/0288xkq,0,0
/m/01lbcqx,4,0
/m/02rng65,6,2
/m/0gwn2dz,3,3
/m/07l4zj3,7,16
/m/050xtv,3,8
/m/07jzqm,17,6
/m/0cd2vh9,39,21
/m/05prd5,6,1
/m/07lzqz,9,9
/m/0g4vmj8,180,79
/m/08mb3r,4,0
/m/09kj7f,7,10
/m/07k66_v,0,0
/m/04jd4jg,6,2
/m/0gh6j94,20,19
/m/02qz5kl,4,11
/m/0kv238,8,4
/m/0csf92,0,11
/m/0479qny,6,1
/m/03dbg_,7,1
/m/0bmc99w,10,1
/m/0gtxj2q,0,0
/m/026mrl2,0,3
/m/0k44g,0,2
/m/06tpmy,2,0
/m/02pcl_4,0,0
/m/07s62__,6,1
/m/05p3738,0,0
/m/0bmkf3x,5,1
/m/05n_wbq,9,10
/m/07k41hw,0,3
/m/04t6jm,2,0
/m/0kg2z_f,30,25
/m/0gyv0b4,84,23
/m/026vmql,5,2
/m/02rvjpc,11,38
/m/03rwl1,7,6
