num_tokens,num_unique_words,sentiment_polarity,sentiment_subjectivity,flesch_reading_ease,wikipedia_id,metascore,imdb_rating_scaled,rating_difference
894,326,0.0452610693400167,0.4072451963241437,73.17,31186339,68.0,72.0,-4.0
881,255,0.02583949615199616,0.3201133357383358,71.65,1952976,52.0,56.0,-4.0
101,45,-0.17777777777777778,0.4277777777777778,44.75,18188932,78.0,70.0,8.0
170,76,0.12803030303030302,0.25972222222222224,72.87,15224586,49.0,61.0,-12.0
286,116,-0.0050000000000000105,0.43570175438596487,45.59,12978934,45.0,63.0,-18.0
679,239,-0.060703637447823505,0.34347048300536676,73.71,8471210,68.0,60.0,8.0
1362,449,0.09607566346696779,0.4184061107974152,54.15,5414895,73.0,73.0,0.0
446,149,-0.10910996760053361,0.5499618829807509,76.05,17124781,69.0,72.0,-3.0
607,200,0.02606481481481482,0.3021296296296295,55.27,5425205,83.0,76.0,7.0
786,255,-0.02443181818181818,0.4747835497835498,60.65,4466226,78.0,70.0,8.0
200,86,-0.09500000000000001,0.53,68.5,6167400,39.0,62.0,-23.0
687,238,-0.01607142857142857,0.37898065476190473,78.48,529276,15.0,30.0,-15.0
768,274,0.05723320158102767,0.44492847731978163,69.92,226664,85.0,72.0,13.0
749,251,0.08562081857536402,0.5224517906336088,64.54,657446,70.0,69.0,1.0
1039,314,0.06498410443722946,0.42030911796536785,62.21,3470969,59.0,64.0,-5.0
435,151,-0.14347826086956522,0.4210144927536231,58.32,4016437,68.0,75.0,-7.0
724,256,0.0558139534883721,0.45442967884828345,67.99,17060199,62.0,61.0,1.0
849,278,0.015316429602143885,0.4746959389816533,65.46,1788654,45.0,58.0,-13.0
609,228,0.06368952684742157,0.2670520999468368,63.59,3662683,45.0,55.0,-10.0
77,41,0.2215909090909091,0.47196969696969693,53.38,473286,43.0,63.0,-20.0
58,30,0.1787878787878788,0.7600000000000001,61.97,1596505,25.0,57.0,-32.0
462,147,-0.010526315789473687,0.3570175438596492,69.92,235406,53.0,78.0,-25.0
439,166,0.1670068027210884,0.38718820861678,64.2,142423,81.0,78.0,3.0
1852,539,-0.01664200446018628,0.4216567624294897,64.85,4154028,61.0,61.0,0.0
604,208,0.1207482993197279,0.47511337868480735,69.72,6002183,71.0,68.0,3.0
48,28,-0.05,0.15,68.1,36566804,72.0,71.0,1.0
1430,486,0.11749025636876105,0.4203197218150489,58.42,2322506,73.0,77.0,-4.0
578,189,0.07426090169992608,0.4692843064794285,55.27,1373219,15.0,54.0,-39.0
1190,402,0.032627022100706296,0.28780853649274707,68.91,2311219,74.0,75.0,-1.0
1567,400,0.12714780075891183,0.4623283095505318,67.28,31083557,13.0,48.0,-35.0
705,269,0.1368903318903319,0.4974891774891775,55.27,6593182,32.0,53.0,-21.0
