wikipedia_id,freebase_id,name,revenue,runtime,languages,countries,genres,release_date_datetime,imdb_id,metacritic_id,imdb_rating,imdb_votes,metascore,count_nomination,count_award
975900,/m/03vyhn,Ghosts of Mars,14010832.0,98.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/03k9fj"": ""Adventure"", ""/m/0fdjb"": ""Supernatural"", ""/m/02kdv5l"": ""Action"", ""/m/09zvmj"": ""Space western""}",2001-08-24,tt0228333,movie/ghosts-of-mars,4.9,56930.0,35.0,2,0
171005,/m/016ywb,Henry V,10161099.0,137.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/04xvh5"": ""Costume drama"", ""/m/082gq"": ""War film"", ""/m/06l3bl"": ""Epic"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/060__y"": ""Film adaptation""}",1989-11-08,tt0097499,movie/henry-v,7.5,31214.0,83.0,13,12
77856,/m/0kcn7,Mary Poppins,102272727.0,139.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hj3myq"": ""Children's/Family"", ""/m/04t36"": ""Musical"", ""/m/01hmnh"": ""Fantasy"", ""/m/01z4y"": ""Comedy"", ""/m/07s9rl0"": ""Drama"", ""/m/0hqxf"": ""Family Film"", ""/m/0hj3myc"": ""Children's Fantasy""}",1964-08-27,tt0058331,movie/mary-poppins,7.8,181857.0,88.0,17,22
612710,/m/02wjqm,New Rose Hotel,21521.0,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/0279xh5"": ""Future noir"", ""/m/0219x_"": ""Indie"", ""/m/0glj9q"": ""Erotic thriller"", ""/m/01hmnh"": ""Fantasy"", ""/m/060__y"": ""Film adaptation"", ""/m/07s9rl0"": ""Drama""}",1999-10-01,tt0133122,movie/new-rose-hotel,5.1,5989.0,31.0,2,2
21926710,/m/05p45cv,White on Rice,,82.0,{},"{""/m/09c7w0"": ""United States of America""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/01z4y"": ""Comedy"", ""/m/0219x_"": ""Indie""}",2009-01-01,tt0892904,movie/white-on-rice,6.1,545.0,45.0,0,3
156558,/m/014k4y,Baby Boy,29381649.0,123.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/07s9rl0"": ""Drama"", ""/m/01j1n2"": ""Coming of age""}",2001-06-27,tt0255819,movie/baby-boy,6.4,16040.0,55.0,14,1
2314463,/m/0734w5,Electric Apricot: Quest For Festeroo,,96.0,{},"{""/m/09c7w0"": ""United States of America""}","{""/m/0gf28"": ""Parody"", ""/m/0l4h_"": ""Mockumentary"", ""/m/01z4y"": ""Comedy""}",2006-01-01,tt0482499,movie/electric-apricot,6.6,674.0,50.0,0,0
261237,/m/01mrrd,The Gods Must Be Crazy,34331783.0,109.0,"{""/m/0x82"": ""Afrikaans Language"", ""/m/02h40lc"": ""English Language""}","{""/m/0hzlz"": ""South Africa""}","{""/m/03k9fj"": ""Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0219x_"": ""Indie"", ""/m/03q4nz"": ""World cinema"", ""/m/01q03"": ""Cult"", ""/m/0hj3msd"": ""Adventure Comedy"", ""/m/01z4y"": ""Comedy"", ""/m/09q17"": ""Slapstick""}",1980-01-01,tt0080801,movie/the-gods-must-be-crazy,7.3,58599.0,73.0,3,2
4951456,/m/0cws46,Kinjite: Forbidden Subjects,3416846.0,97.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action"", ""/m/01jfsb"": ""Thriller""}",1989-01-01,tt0097670,movie/kinjite-forbidden-subjects,5.5,3705.0,19.0,0,0
1254263,/m/04mhwd,Shivers,,89.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0d060g"": ""Canada""}","{""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/02js9"": ""Erotica"", ""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/09blyk"": ""Psychological thriller"", ""/m/01q03"": ""Cult"", ""/m/06nbt"": ""Satire"", ""/m/0219x_"": ""Indie""}",1975-10-10,tt0073705,movie/shivers,6.3,23067.0,58.0,1,1
